Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
c9b3c857-2e24-320c-a79a-87b8a60de63c,69176529-fd1f-3b3f-abce-a0a3626769eb,Suzette512 Monahan736,F,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,2296
e6283e46-fd81-3611-9459-0edb1c3da357,e002090d-4e92-300e-b41e-7d1f21dee4c6,Jeanmarie510 Beatty507,F,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,3199
326937ff-4a1a-3771-91cc-97a5dc9f34d0,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Colby655 Schowalter414,F,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,2225
af01a385-31d3-3c77-8fdb-2867fe88df2f,5d4b9df1-93ae-3bc9-b680-03249990e558,Garth972 Wyman904,M,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,2585
3b172b7b-6625-359e-8bbd-9d6bb9384ede,a0b6ec0c-e587-3b2a-bf9f-248849f29ee5,Benton624 Becker968,M,GENERAL PRACTICE,736 CAMBRIDGE STREET,BRIGHTON,MA,02135,42.33196,-71.020173,184
ad0b1c7f-8f5d-33b6-8e88-4b286f07d9a3,b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,Hassan290 Rath779,M,GENERAL PRACTICE,275 SANDWICH STREET,PLYMOUTH,MA,02360,41.897892,-70.62403,1136
58b66cc1-2b86-377f-ad77-ad8164388e50,b0e04623-b02c-3f8b-92ea-943fc4db60da,Veda284 Pfeffer420,F,GENERAL PRACTICE,295 VARNUM AVENUE,LOWELL,MA,01854,42.638893,-71.32210699999997,1811
af42f305-3f0c-396d-8303-9cbdb900a516,23834663-ed53-3da9-b330-d6e1ecb8428e,Myong12 Heidenreich818,F,GENERAL PRACTICE,363 HIGHLAND AVENUE,FALL RIVER,MA,02720,41.725351,-71.094162,1832
47cb5349-d261-324a-9109-c888f4a0e966,60457c13-adb2-3415-82c5-86ab5dab5f93,Mohammed454 Parisian75,M,GENERAL PRACTICE,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,42.115454,-72.539978,517
5bf929a6-ea58-3e94-a4cf-22cc1e168d6d,db0acede-4abe-3c01-8d03-5c68a190d8c7,Edie35 Howell947,F,GENERAL PRACTICE,55 FOGG ROAD,SOUTH WEYMOUTH,MA,02190,42.24158900000001,-71.082651,1400
